N,Ne,tau,umax,computation_time,arrival_time,penalty_start,penalty_end,penalty_rate,successful
30,2,0.75,1.0,32.43285512924194,104.0,23.59266671933923,0.0025030999136522493,0.45365699268126114,True
30,2,0.75,2.0,49.86899185180664,92.0,1.5928849689043343,0.0025449670109576766,0.03457260873681254,True
30,3,0.2,0.5,14.462164163589478,,43.72616246964453,42.147005835103485,0.01579156634541043,True
30,3,0.2,1.0,36.06722831726074,,42.286719362967695,30.040026824151013,0.12246692538816681,True
30,3,0.2,2.0,20.466002702713013,150.0,36.89953825229642,0.03960583717807476,0.737198648302367,True
30,3,0.5,0.5,33.15858221054077,252.0,40.14728907831124,0.0055979072999171224,0.47787727584537293,True
30,3,0.5,1.0,24.893694162368774,126.0,30.332053333333295,0.006241566086499497,0.7220431373153999,True
30,3,0.5,2.0,27.165650367736816,96.0,16.533101831621543,0.005415577816026335,0.5164901954314224,True
30,3,0.75,0.5,25.783796072006226,159.0,36.21740041399959,0.0027270307209103363,0.6832957242128053,True
30,3,0.75,1.0,24.349677085876465,102.0,23.59266671933923,0.002768985974895254,0.6938205215695392,True
30,3,0.75,2.0,29.249825716018677,90.0,1.5928849689043343,0.0027697943115584035,0.05300383915309253,True
